,patch,gameid,result,date,side,firstPick,top,jng,mid,bot,sup,ban1,ban2,ban3,ban4,ban5,opp_top,opp_jng,opp_mid,opp_bot,opp_sup
18102,16.4,NA1_5504177799,1,,Blue,1,Dr. Mundo,Rammus,Anivia,Ezreal,Senna,Draven,Pyke,Poppy,Azir,Ahri,Gwen,Graves,Twisted Fate,Tristana,Karma
18103,16.4,NA1_5504177799,0,,Red,0,Gwen,Graves,Twisted Fate,Tristana,Karma,Zed,Pyke,Talon,Rengar,Ambessa,Dr. Mundo,Rammus,Anivia,Ezreal,Senna
18104,16.4,NA1_5502818532,1,,Blue,1,Dr. Mundo,Graves,Taliyah,Jinx,Alistar,Jayce,Ekko,Gwen,Renekton,Draven,Yorick,Teemo,Cassiopeia,Varus,Thresh
18105,16.4,NA1_5502818532,0,,Red,0,Yorick,Teemo,Cassiopeia,Varus,Thresh,Jax,Naafiri,Qiyana,Neeko,Renekton,Dr. Mundo,Graves,Taliyah,Jinx,Alistar
18106,16.4,NA1_5505203493,1,,Blue,1,Varus,Talon,Sion,Aphelios,Janna,Ambessa,Riven,,Jarvan IV,Akshan,Aatrox,Dr. Mundo,Vladimir,Corki,Karma
18107,16.4,NA1_5505203493,0,,Red,0,Aatrox,Dr. Mundo,Vladimir,Corki,Karma,Zoe,Neeko,Bard,Zac,Mel,Varus,Talon,Sion,Aphelios,Janna
18108,16.4,NA1_5505048587,0,,Blue,1,Aurora,Jarvan IV,Orianna,Lucian,Nami,Corki,Pyke,Rengar,Braum,Riven,K'Sante,Graves,Taliyah,Vayne,Nautilus
18109,16.4,NA1_5505048587,1,,Red,0,K'Sante,Graves,Taliyah,Vayne,Nautilus,Riven,Zed,Sona,Janna,,Aurora,Jarvan IV,Orianna,Lucian,Nami
18110,16.4,NA1_5503050992,1,,Blue,1,Urgot,Rengar,Viktor,Veigar,Zilean,Pyke,Poppy,Ambessa,Akali,Varus,Vayne,Zac,Nasus,Lucian,Nami
18111,16.4,NA1_5503050992,0,,Red,0,Vayne,Zac,Nasus,Lucian,Nami,Anivia,Caitlyn,Ambessa,Poppy,Nautilus,Urgot,Rengar,Viktor,Veigar,Zilean
18112,16.4,NA1_5495704854,0,,Blue,1,Singed,Viego,Orianna,Zeri,Soraka,Ahri,Master Yi,Ambessa,Riven,Brand,Gwen,Graves,Viktor,Ezreal,Senna
18113,16.4,NA1_5495704854,1,,Red,0,Gwen,Graves,Viktor,Ezreal,Senna,Malphite,,Pyke,Yasuo,Vayne,Singed,Viego,Orianna,Zeri,Soraka
18114,16.4,NA1_5504375003,0,,Blue,1,Urgot,Master Yi,Cho'Gath,Kai'Sa,Thresh,Kha'Zix,Ambessa,Corki,Karma,Vayne,Aatrox,Jax,Anivia,Ashe,Renata Glasc
18115,16.4,NA1_5504375003,1,,Red,0,Aatrox,Jax,Anivia,Ashe,Renata Glasc,Pyke,Jayce,Hwei,Ambessa,,Urgot,Master Yi,Cho'Gath,Kai'Sa,Thresh
18116,16.3,NA1_5495610843,0,,Blue,1,Azir,Graves,Orianna,Kalista,Renata Glasc,Ambessa,Rengar,Mel,Jayce,Karthus,Ahri,Kindred,Syndra,Yunara,Nautilus
18117,16.3,NA1_5495610843,1,,Red,0,Ahri,Kindred,Syndra,Yunara,Nautilus,Riven,Irelia,Kennen,Gwen,Rengar,Azir,Graves,Orianna,Kalista,Renata Glasc
18118,16.4,NA1_5504211225,0,,Blue,1,Nasus,Elise,Akshan,Tristana,Blitzcrank,Anivia,Ambessa,Jax,Ryze,Yuumi,Singed,Kha'Zix,Syndra,Lucian,Braum
18119,16.4,NA1_5504211225,1,,Red,0,Singed,Kha'Zix,Syndra,Lucian,Braum,Qiyana,Cassiopeia,Xerath,Fiora,Gwen,Nasus,Elise,Akshan,Tristana,Blitzcrank
18120,16.4,NA1_5495885162,0,,Blue,1,Anivia,Naafiri,Ahri,Xayah,Leona,Riven,Gwen,Gangplank,Yasuo,Galio,Irelia,Fizz,Katarina,Jinx,Neeko
18121,16.4,NA1_5495885162,1,,Red,0,Irelia,Fizz,Katarina,Jinx,Neeko,,Akali,Darius,Pyke,,Anivia,Naafiri,Ahri,Xayah,Leona
18122,16.4,NA1_5503190228,1,,Blue,1,Jayce,Rengar,Ahri,Corki,Sona,Blitzcrank,Pyke,Draven,Master Yi,Varus,Yasuo,Kha'Zix,Aurora,Jhin,Bard
18123,16.4,NA1_5503190228,0,,Red,0,Yasuo,Kha'Zix,Aurora,Jhin,Bard,Riven,Graves,Sivir,Akali,Jax,Jayce,Rengar,Ahri,Corki,Sona
18124,16.4,NA1_5501168302,0,,Blue,1,Jax,Talon,Azir,Ezreal,Karma,Zac,Akali,Bel'Veth,Mel,Caitlyn,Anivia,Fizz,Yone,Ashe,Nidalee
18125,16.4,NA1_5501168302,1,,Red,0,Anivia,Fizz,Yone,Ashe,Nidalee,Riven,Nautilus,Camille,Akali,Shaco,Jax,Talon,Azir,Ezreal,Karma
18126,16.4,NA1_5503737937,1,,Blue,1,Aatrox,Udyr,Syndra,Yunara,Milio,Ambessa,LeBlanc,Draven,Fizz,Varus,Vayne,Graves,Karma,Seraphine,Nautilus
18127,16.4,NA1_5503737937,0,,Red,0,Vayne,Graves,Karma,Seraphine,Nautilus,Pyke,Nasus,Jayce,Kassadin,Mel,Aatrox,Udyr,Syndra,Yunara,Milio
18128,16.4,NA1_5500076348,0,,Blue,1,Illaoi,Shaco,Kassadin,Draven,Thresh,Lillia,Zed,Yorick,Mel,Neeko,Tryndamere,Xin Zhao,Ahri,Zyra,Sona
18129,16.4,NA1_5500076348,1,,Red,0,Tryndamere,Xin Zhao,Ahri,Zyra,Sona,Zed,Lucian,Pyke,Gwen,Akali,Illaoi,Shaco,Kassadin,Draven,Thresh
18130,16.3,NA1_5495521187,1,,Blue,1,Jax,Ambessa,Annie,Aphelios,Renata Glasc,Draven,,Mel,Nunu & Willump,Malphite,Jayce,Master Yi,Anivia,Kai'Sa,Nautilus
18131,16.3,NA1_5495521187,0,,Red,0,Jayce,Master Yi,Anivia,Kai'Sa,Nautilus,Syndra,Caitlyn,Riven,Braum,,Jax,Ambessa,Annie,Aphelios,Renata Glasc
18132,16.3,NA1_5495457527,0,,Blue,1,Aatrox,Zac,Ryze,Jinx,Neeko,Xerath,,Rengar,,Kha'Zix,Fiora,Ambessa,Orianna,Aphelios,Janna
18133,16.3,NA1_5495457527,1,,Red,0,Fiora,Ambessa,Orianna,Aphelios,Janna,Mel,Nunu & Willump,Draven,Urgot,Yasuo,Aatrox,Zac,Ryze,Jinx,Neeko
18134,16.3,NA1_5495547464,1,,Blue,1,Zaahen,Ambessa,Brand,Yunara,Thresh,Riven,Rengar,Syndra,Fiora,Draven,Zoe,Trundle,Sion,Xayah,Bard
18135,16.3,NA1_5495547464,0,,Red,0,Zoe,Trundle,Sion,Xayah,Bard,Sona,Dr. Mundo,Zilean,Ekko,Rengar,Zaahen,Ambessa,Brand,Yunara,Thresh
18136,16.4,NA1_5503689816,0,,Blue,1,Ambessa,Dr. Mundo,Orianna,Aphelios,Vel'Koz,Yasuo,Nami,Bel'Veth,Rumble,Kha'Zix,Yone,Fiddlesticks,Qiyana,Jhin,Karma
18137,16.4,NA1_5503689816,1,,Red,0,Yone,Fiddlesticks,Qiyana,Jhin,Karma,Galio,Yorick,Jayce,Bel'Veth,Heimerdinger,Ambessa,Dr. Mundo,Orianna,Aphelios,Vel'Koz
18138,16.4,NA1_5498261842,0,,Blue,1,Tryndamere,Jarvan IV,Cho'Gath,Jinx,Lulu,Hecarim,Riven,Braum,Jayce,Malphite,Sion,Briar,Aurelion Sol,Kalista,Renata Glasc
18139,16.4,NA1_5498261842,1,,Red,0,Sion,Briar,Aurelion Sol,Kalista,Renata Glasc,Zoe,,Shaco,Poppy,Viego,Tryndamere,Jarvan IV,Cho'Gath,Jinx,Lulu
18140,16.4,NA1_5500536307,0,,Blue,1,Poppy,Kha'Zix,Ahri,Mel,Seraphine,Dr. Mundo,Nautilus,Nunu & Willump,Darius,Gwen,Varus,Jarvan IV,Sylas,Kai'Sa,Leona
18141,16.4,NA1_5500536307,1,,Red,0,Varus,Jarvan IV,Sylas,Kai'Sa,Leona,Zoe,Bel'Veth,Lee Sin,Akali,Jax,Poppy,Kha'Zix,Ahri,Mel,Seraphine
18142,16.4,NA1_5500236583,1,,Blue,1,Rumble,Jarvan IV,Tristana,Vladimir,Blitzcrank,Riven,,Fiddlesticks,Kha'Zix,,Jayce,Ivern,Sylas,Lux,Senna
18143,16.4,NA1_5500236583,0,,Red,0,Jayce,Ivern,Sylas,Lux,Senna,,Ambessa,Graves,Pyke,Rengar,Rumble,Jarvan IV,Tristana,Vladimir,Blitzcrank
18144,16.4,NA1_5502175914,1,,Blue,1,Aurora,Ambessa,Yasuo,Smolder,Rakan,Orianna,Nunu & Willump,Kindred,Draven,,Jayce,Master Yi,Swain,Seraphine,Sona
18145,16.4,NA1_5502175914,0,,Red,0,Jayce,Master Yi,Swain,Seraphine,Sona,Mel,Riven,Pyke,Gwen,Sylas,Aurora,Ambessa,Yasuo,Smolder,Rakan
18146,16.4,NA1_5500596247,0,,Blue,1,Jayce,Xin Zhao,Orianna,Miss Fortune,Bard,,Ambessa,Azir,Gwen,Rumble,Naafiri,Pantheon,Ryze,Corki,Zyra
18147,16.4,NA1_5500596247,1,,Red,0,Naafiri,Pantheon,Ryze,Corki,Zyra,Jax,Rengar,Aurora,Nunu & Willump,,Jayce,Xin Zhao,Orianna,Miss Fortune,Bard
18148,16.4,NA1_5503495340,0,,Blue,1,Kennen,Ambessa,Talon,Kai'Sa,Nautilus,Poppy,Sona,Graves,Zaahen,LeBlanc,Vayne,Master Yi,Azir,Ezreal,Braum
18149,16.4,NA1_5503495340,1,,Red,0,Vayne,Master Yi,Azir,Ezreal,Braum,Kha'Zix,Akshan,,Rumble,Shaco,Kennen,Ambessa,Talon,Kai'Sa,Nautilus
18150,16.4,NA1_5500961430,0,,Blue,1,Kayle,Ambessa,Aurora,Vayne,Janna,Pyke,Draven,,Sett,,Irelia,Graves,Diana,Aurelion Sol,Poppy
18151,16.4,NA1_5500961430,1,,Red,0,Irelia,Graves,Diana,Aurelion Sol,Poppy,LeBlanc,Jayce,Akali,Nunu & Willump,Lux,Kayle,Ambessa,Aurora,Vayne,Janna
18152,16.4,NA1_5502886547,0,,Blue,1,Aurora,Talon,Yone,Ezreal,Karma,Draven,Zed,Syndra,Pyke,Bel'Veth,Ambessa,Ekko,Kassadin,Brand,Senna
18153,16.4,NA1_5502886547,1,,Red,0,Ambessa,Ekko,Kassadin,Brand,Senna,Rengar,Zed,Sona,,Pyke,Aurora,Talon,Yone,Ezreal,Karma
18154,16.4,NA1_5505032863,1,,Blue,1,Volibear,Graves,Malzahar,Jhin,Rakan,Kha'Zix,Seraphine,Jax,Ryze,Yasuo,Aurora,Aatrox,Sylas,Tristana,Nautilus
18155,16.4,NA1_5505032863,0,,Red,0,Aurora,Aatrox,Sylas,Tristana,Nautilus,Zoe,Azir,Jayce,Neeko,Draven,Volibear,Graves,Malzahar,Jhin,Rakan
18156,16.4,NA1_5503535426,0,,Blue,1,Singed,Graves,Orianna,Fiora,Leona,Ezreal,Jayce,Yasuo,Aphelios,Zoe,Nasus,Kindred,Galio,Brand,Nautilus
18157,16.4,NA1_5503535426,1,,Red,0,Nasus,Kindred,Galio,Brand,Nautilus,Vladimir,Fiddlesticks,Rengar,Xin Zhao,Irelia,Singed,Graves,Orianna,Fiora,Leona
18158,16.4,NA1_5501409800,1,,Blue,1,Kayle,Kha'Zix,Taliyah,Swain,Karma,Sivir,Jax,Ambessa,Ryze,Akali,Aatrox,Sylas,Yasuo,Ezreal,Renata Glasc
18159,16.4,NA1_5501409800,0,,Red,0,Aatrox,Sylas,Yasuo,Ezreal,Renata Glasc,Yone,Vladimir,Master Yi,Ambessa,Morgana,Kayle,Kha'Zix,Taliyah,Swain,Karma
18160,16.4,NA1_5498094480,1,,Blue,1,Kled,Vayne,Zed,Veigar,Poppy,,Fiora,Kindred,,Jayce,Camille,Graves,Katarina,Nilah,Yuumi
18161,16.4,NA1_5498094480,0,,Red,0,Camille,Graves,Katarina,Nilah,Yuumi,Rengar,Pyke,Jax,Galio,Kindred,Kled,Vayne,Zed,Veigar,Poppy
18162,16.4,NA1_5502248914,0,,Blue,1,K'Sante,Jarvan IV,Hwei,Ziggs,Senna,,Shaco,Taliyah,Talon,,Olaf,Kha'Zix,Corki,Veigar,Alistar
18163,16.4,NA1_5502248914,1,,Red,0,Olaf,Kha'Zix,Corki,Veigar,Alistar,Sylas,Mel,Ambessa,Rengar,Gwen,K'Sante,Jarvan IV,Hwei,Ziggs,Senna
18164,16.4,NA1_5505114026,0,,Blue,1,Veigar,Rengar,Morgana,Smolder,Nami,Zed,Pyke,Mel,Kha'Zix,Nunu & Willump,Irelia,Lee Sin,Zoe,Lucian,Sona
18165,16.4,NA1_5505114026,1,,Red,0,Irelia,Lee Sin,Zoe,Lucian,Sona,Kha'Zix,Teemo,Diana,Blitzcrank,Zed,Veigar,Rengar,Morgana,Smolder,Nami
18166,16.4,NA1_5504340496,1,,Blue,1,Aurora,Rek'Sai,Yasuo,Jinx,Lulu,Lucian,Jayce,Karma,Irelia,Akali,Nasus,Ambessa,Corki,Veigar,Zyra
18167,16.4,NA1_5504340496,0,,Red,0,Nasus,Ambessa,Corki,Veigar,Zyra,Kha'Zix,Jax,,Zed,Shaco,Aurora,Rek'Sai,Yasuo,Jinx,Lulu
18168,16.4,NA1_5496602735,1,,Blue,1,Jax,Maokai,Akali,Jinx,Bard,Ambessa,Kha'Zix,Bel'Veth,Azir,Gwen,Gangplank,Trundle,Kindred,Ezreal,Alistar
18169,16.4,NA1_5496602735,0,,Red,0,Gangplank,Trundle,Kindred,Ezreal,Alistar,Fiora,Gwen,Bel'Veth,Graves,Talon,Jax,Maokai,Akali,Jinx,Bard
18170,16.4,NA1_5500042386,0,,Blue,1,Rumble,Viego,Yasuo,Jhin,Blitzcrank,Akali,Lee Sin,Sona,Riven,Neeko,Poppy,Udyr,Qiyana,Veigar,Nautilus
18171,16.4,NA1_5500042386,1,,Red,0,Poppy,Udyr,Qiyana,Veigar,Nautilus,Akshan,,Dr. Mundo,Garen,Ambessa,Rumble,Viego,Yasuo,Jhin,Blitzcrank
18172,16.4,NA1_5504246294,0,,Blue,1,Aatrox,Kha'Zix,Vladimir,Veigar,Anivia,Qiyana,Braum,LeBlanc,,Aurora,Cassiopeia,Naafiri,Viktor,Lucian,Nami
18173,16.4,NA1_5504246294,1,,Red,0,Cassiopeia,Naafiri,Viktor,Lucian,Nami,Sona,Hecarim,Swain,Yasuo,Akali,Aatrox,Kha'Zix,Vladimir,Veigar,Anivia
18174,16.4,NA1_5497701566,0,,Blue,1,Fiora,Nidalee,Ryze,Aphelios,Karma,Caitlyn,,Akali,Graves,Fiddlesticks,Zac,Jarvan IV,Twisted Fate,Jhin,Neeko
18175,16.4,NA1_5497701566,1,,Red,0,Zac,Jarvan IV,Twisted Fate,Jhin,Neeko,Lux,Nunu & Willump,Shaco,Rengar,Riven,Fiora,Nidalee,Ryze,Aphelios,Karma
18176,16.3,NA1_5495535066,1,,Blue,1,Fiora,Ambessa,Aurora,Ezreal,Janna,Draven,,Nunu & Willump,Rumble,Mel,Jayce,Talon,Galio,Twitch,Thresh
18177,16.3,NA1_5495535066,0,,Red,0,Jayce,Talon,Galio,Twitch,Thresh,Zoe,Pyke,Rengar,Riven,Yasuo,Fiora,Ambessa,Aurora,Ezreal,Janna
18178,16.4,NA1_5504496965,0,,Blue,1,Garen,Graves,Ryze,Mel,Blitzcrank,Azir,Gwen,Pyke,Vayne,Kha'Zix,Varus,Lee Sin,Kassadin,Seraphine,Senna
18179,16.4,NA1_5504496965,1,,Red,0,Varus,Lee Sin,Kassadin,Seraphine,Senna,Orianna,,,Yasuo,Rengar,Garen,Graves,Ryze,Mel,Blitzcrank
18180,16.4,NA1_5500600305,0,,Blue,1,Yorick,Nunu & Willump,Orianna,Samira,Ambessa,Nautilus,Aatrox,Varus,Draven,Bel'Veth,Zaahen,Rengar,Zoe,Xayah,Janna
18181,16.4,NA1_5500600305,1,,Red,0,Zaahen,Rengar,Zoe,Xayah,Janna,Malphite,Kayle,Graves,Zed,Draven,Yorick,Nunu & Willump,Orianna,Samira,Ambessa
18182,16.4,NA1_5504483213,1,,Blue,1,Jax,Lee Sin,Ekko,Kog'Maw,Seraphine,Ambessa,Irelia,Kai'Sa,Ahri,Pyke,Pantheon,Zaahen,Nasus,Corki,Karma
18183,16.4,NA1_5504483213,0,,Red,0,Pantheon,Zaahen,Nasus,Corki,Karma,Gwen,Jayce,Malphite,Kha'Zix,Kindred,Jax,Lee Sin,Ekko,Kog'Maw,Seraphine
18184,16.4,NA1_5499196172,1,,Blue,1,Rumble,Jarvan IV,Riven,Kog'Maw,Lulu,Pyke,,Lux,Syndra,Rengar,Jayce,Naafiri,Anivia,Yunara,Nami
18185,16.4,NA1_5499196172,0,,Red,0,Jayce,Naafiri,Anivia,Yunara,Nami,Taliyah,Graves,Kindred,Draven,Teemo,Rumble,Jarvan IV,Riven,Kog'Maw,Lulu
18186,16.4,NA1_5504988709,0,,Blue,1,Tahm Kench,Talon,Ryze,Nilah,Xerath,Rumble,Qiyana,Pyke,Jinx,Zed,Pantheon,Lee Sin,Ahri,Yasuo,Nautilus
18187,16.4,NA1_5504988709,1,,Red,0,Pantheon,Lee Sin,Ahri,Yasuo,Nautilus,Ambessa,Mel,Bel'Veth,Gnar,Neeko,Tahm Kench,Talon,Ryze,Nilah,Xerath
18188,16.4,NA1_5499179704,0,,Blue,1,Gnar,Graves,Ahri,Kai'Sa,Braum,Zed,Rengar,Pyke,Ambessa,Bel'Veth,Volibear,Taliyah,Yasuo,Aphelios,Poppy
18189,16.4,NA1_5499179704,1,,Red,0,Volibear,Taliyah,Yasuo,Aphelios,Poppy,Lux,Jax,Akali,Jayce,Sona,Gnar,Graves,Ahri,Kai'Sa,Braum
18190,16.4,NA1_5504079490,1,,Blue,1,Renekton,Talon,Neeko,Yunara,Soraka,Hecarim,Zoe,Fiora,Ambessa,Ziggs,Nocturne,Lee Sin,Vel'Koz,Hwei,Lux
18191,16.4,NA1_5504079490,0,,Red,0,Nocturne,Lee Sin,Vel'Koz,Hwei,Lux,Sivir,Master Yi,Katarina,Jayce,Rengar,Renekton,Talon,Neeko,Yunara,Soraka
18192,16.4,NA1_5497145237,1,,Blue,1,Gwen,Graves,Renekton,Caitlyn,Bard,Jax,Kennen,Talon,Rengar,Ambessa,Dr. Mundo,Kha'Zix,Vel'Koz,Kai'Sa,Nautilus
18193,16.4,NA1_5497145237,0,,Red,0,Dr. Mundo,Kha'Zix,Vel'Koz,Kai'Sa,Nautilus,Aatrox,Shaco,Zoe,Ambessa,Mel,Gwen,Graves,Renekton,Caitlyn,Bard
18194,16.4,NA1_5505028352,0,,Blue,1,Zaahen,Viktor,Ahri,Kai'Sa,Nautilus,Pyke,Dr. Mundo,Ryze,Draven,Yorick,Fiddlesticks,Ambessa,Galio,Lucian,Yuumi
18195,16.4,NA1_5505028352,1,,Red,0,Fiddlesticks,Ambessa,Galio,Lucian,Yuumi,Draven,Yasuo,Jayce,Graves,Talon,Zaahen,Viktor,Ahri,Kai'Sa,Nautilus
18196,16.4,NA1_5501088701,1,,Blue,1,K'Sante,Gwen,Akshan,Zilean,Nautilus,Caitlyn,Pyke,Yasuo,Shaco,Jayce,Dr. Mundo,Ambessa,Yone,Mel,Karma
18197,16.4,NA1_5501088701,0,,Red,0,Dr. Mundo,Ambessa,Yone,Mel,Karma,Azir,Sona,Poppy,Aurora,,K'Sante,Gwen,Akshan,Zilean,Nautilus
18198,16.4,NA1_5503593330,1,,Blue,1,Vladimir,Trundle,Malzahar,Caitlyn,Janna,Evelynn,Rengar,Riven,Zed,Pyke,Zaahen,Ekko,Seraphine,Jhin,Leona
18199,16.4,NA1_5503593330,0,,Red,0,Zaahen,Ekko,Seraphine,Jhin,Leona,Malphite,Pyke,Sylas,Kassadin,Sona,Vladimir,Trundle,Malzahar,Caitlyn,Janna
18200,16.4,NA1_5502558115,1,,Blue,1,Vayne,Malphite,Yasuo,Brand,Braum,Sylas,Sona,Ambessa,Akali,Varus,Fiora,Gwen,Taliyah,Ezreal,Leona
18201,16.4,NA1_5502558115,0,,Red,0,Fiora,Gwen,Taliyah,Ezreal,Leona,Qiyana,Akshan,Riven,Zaahen,Ambessa,Vayne,Malphite,Yasuo,Brand,Braum
18202,16.4,NA1_5500155979,0,,Blue,1,Tryndamere,Fizz,Tristana,Lux,Maokai,Mel,Galio,Udyr,Malphite,Leona,Shen,Ambessa,Vladimir,Miss Fortune,Nautilus
18203,16.4,NA1_5500155979,1,,Red,0,Shen,Ambessa,Vladimir,Miss Fortune,Nautilus,Kha'Zix,Nidalee,Kindred,Camille,Syndra,Tryndamere,Fizz,Tristana,Lux,Maokai
18204,16.4,NA1_5502957533,1,,Blue,1,Fiora,Nidalee,Ahri,Kai'Sa,Leona,Vayne,Draven,Zed,Ambessa,Pyke,K'Sante,Viego,Viktor,Corki,Nami
18205,16.4,NA1_5502957533,0,,Red,0,K'Sante,Viego,Viktor,Corki,Nami,Riven,Draven,Akali,,Lee Sin,Fiora,Nidalee,Ahri,Kai'Sa,Leona
18206,16.4,NA1_5500739037,1,,Blue,1,Mordekaiser,Zed,Corki,Varus,Karma,Gwen,Lux,Rengar,Cassiopeia,Bel'Veth,Irelia,Xin Zhao,Sylas,Lucian,Nami
18207,16.4,NA1_5500739037,0,,Red,0,Irelia,Xin Zhao,Sylas,Lucian,Nami,Aurora,Yasuo,Zoe,Viego,Jayce,Mordekaiser,Zed,Corki,Varus,Karma
18208,16.4,NA1_5499202781,1,,Blue,1,Gnar,Malphite,Taliyah,Jinx,Bard,Sona,LeBlanc,Aphelios,Zaahen,Kha'Zix,Ornn,Hecarim,Gragas,Kai'Sa,Rakan
18209,16.4,NA1_5499202781,0,,Red,0,Ornn,Hecarim,Gragas,Kai'Sa,Rakan,Gwen,Diana,Twitch,Bel'Veth,Viktor,Gnar,Malphite,Taliyah,Jinx,Bard
18210,16.4,NA1_5499315278,0,,Blue,1,Yasuo,Graves,Corki,Seraphine,Neeko,Zoe,Jayce,Riven,Pyke,Mel,Aurora,Vayne,Kassadin,Varus,Lee Sin
18211,16.4,NA1_5499315278,1,,Red,0,Aurora,Vayne,Kassadin,Varus,Lee Sin,Kha'Zix,Jax,Gwen,Singed,Poppy,Yasuo,Graves,Corki,Seraphine,Neeko
18212,16.4,NA1_5497747812,1,,Blue,1,Ambessa,Hecarim,Hwei,Lucian,Nami,Riven,Nunu & Willump,Fiddlesticks,Rengar,Lux,Darius,Fizz,Orianna,Aphelios,Sona
18213,16.4,NA1_5497747812,0,,Red,0,Darius,Fizz,Orianna,Aphelios,Sona,Rengar,Jayce,Rumble,Pyke,Bard,Ambessa,Hecarim,Hwei,Lucian,Nami
18214,16.4,NA1_5504385711,1,,Blue,1,Aatrox,Graves,Galio,Caitlyn,Jarvan IV,Syndra,Varus,,,Rengar,Zaahen,Talon,Fizz,Yunara,Nami
18215,16.4,NA1_5504385711,0,,Red,0,Zaahen,Talon,Fizz,Yunara,Nami,Draven,Fiddlesticks,Sylas,Darius,Pyke,Aatrox,Graves,Galio,Caitlyn,Jarvan IV
18216,16.4,NA1_5505062838,1,,Blue,1,Azir,Talon,Zoe,Yasuo,Karma,Bel'Veth,Shaco,Zed,Dr. Mundo,Nilah,Teemo,Rengar,Taliyah,Smolder,Soraka
18217,16.4,NA1_5505062838,0,,Red,0,Teemo,Rengar,Taliyah,Smolder,Soraka,Akali,,,Mel,Nunu & Willump,Azir,Talon,Zoe,Yasuo,Karma
18218,16.3,NA1_5495286245,0,,Blue,1,Yone,Kha'Zix,Zoe,Twitch,Sona,Renekton,Yasuo,Nautilus,Mel,Ambessa,Jayce,Jarvan IV,LeBlanc,Corki,Nami
18219,16.3,NA1_5495286245,1,,Red,0,Jayce,Jarvan IV,LeBlanc,Corki,Nami,Riven,Pyke,Shaco,Vex,Gwen,Yone,Kha'Zix,Zoe,Twitch,Sona
18220,16.4,NA1_5500484571,1,,Blue,1,Riven,Graves,Camille,Cassiopeia,Thresh,Mel,Karma,Renekton,Ambessa,Rengar,Darius,Kindred,Twisted Fate,Smolder,Anivia
18221,16.4,NA1_5500484571,0,,Red,0,Darius,Kindred,Twisted Fate,Smolder,Anivia,Nautilus,Zed,Braum,Ambessa,Illaoi,Riven,Graves,Camille,Cassiopeia,Thresh
18222,16.4,NA1_5502817025,1,,Blue,1,Zaahen,Briar,Ryze,Aphelios,Pyke,Yasuo,Jayce,,Riven,Ambessa,Varus,Viego,Akali,Corki,Soraka
18223,16.4,NA1_5502817025,0,,Red,0,Varus,Viego,Akali,Corki,Soraka,Jax,Sona,Yunara,Ambessa,Teemo,Zaahen,Briar,Ryze,Aphelios,Pyke
18224,16.4,NA1_5503606598,1,,Blue,1,Zaahen,Hecarim,Aurora,Swain,Alistar,Sylas,Yunara,Fiddlesticks,Gangplank,Lee Sin,Tryndamere,Talon,Ahri,Kai'Sa,Nautilus
18225,16.4,NA1_5503606598,0,,Red,0,Tryndamere,Talon,Ahri,Kai'Sa,Nautilus,Draven,Rengar,Nocturne,Rumble,Yasuo,Zaahen,Hecarim,Aurora,Swain,Alistar
18226,16.4,NA1_5496966977,0,,Blue,1,K'Sante,Ambessa,Azir,Kai'Sa,Bard,Pyke,Rengar,Corki,Bel'Veth,Malphite,Gwen,Lee Sin,Akali,Ezreal,Annie
18227,16.4,NA1_5496966977,1,,Red,0,Gwen,Lee Sin,Akali,Ezreal,Annie,Neeko,Yasuo,Riven,Rengar,Fizz,K'Sante,Ambessa,Azir,Kai'Sa,Bard
18228,16.4,NA1_5498227338,1,,Blue,1,Jayce,Ambessa,Azir,Vladimir,Nami,Sona,Anivia,Bel'Veth,Yasuo,Fiddlesticks,Aatrox,Lee Sin,Ryze,Caitlyn,Morgana
18229,16.4,NA1_5498227338,0,,Red,0,Aatrox,Lee Sin,Ryze,Caitlyn,Morgana,Varus,Naafiri,Nautilus,Graves,Zed,Jayce,Ambessa,Azir,Vladimir,Nami
18230,16.4,NA1_5501337352,1,,Blue,1,Jayce,Naafiri,Akali,Miss Fortune,Zyra,,,Vladimir,Seraphine,Rumble,Sion,Ambessa,Orianna,Mel,Sona
18231,16.4,NA1_5501337352,0,,Red,0,Sion,Ambessa,Orianna,Mel,Sona,Ekko,Blitzcrank,Rengar,Pyke,Renekton,Jayce,Naafiri,Akali,Miss Fortune,Zyra
18232,16.4,NA1_5502783379,0,,Blue,1,Ambessa,Zac,Sion,Vladimir,Lulu,Poppy,Syndra,Sylas,Caitlyn,Vayne,Singed,Rek'Sai,Ahri,Jinx,Nautilus
18233,16.4,NA1_5502783379,1,,Red,0,Singed,Rek'Sai,Ahri,Jinx,Nautilus,Draven,Shaco,Zed,Master Yi,Jayce,Ambessa,Zac,Sion,Vladimir,Lulu
18234,16.4,NA1_5503792856,1,,Blue,1,Zaahen,Elise,Taliyah,Yasuo,Janna,Riven,Sivir,Shaco,Diana,Zed,Yorick,Aatrox,Vex,Varus,Leona
18235,16.4,NA1_5503792856,0,,Red,0,Yorick,Aatrox,Vex,Varus,Leona,LeBlanc,,Mel,Lulu,Jax,Zaahen,Elise,Taliyah,Yasuo,Janna
18236,16.4,NA1_5505082493,0,,Blue,1,Jayce,Zaahen,Ryze,Ezreal,Bard,Anivia,Yunara,Gwen,Irelia,Naafiri,Vayne,Maokai,Yasuo,Jinx,Nidalee
